id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,date_upload_minute,date_upload_hour,date_upload_day,date_upload_month,date_upload_year,Unnamed: 16,Unnamed: 17,Unnamed: 18
6674970791,29713277@N02,45.753948,4.788145,"portrait,throughtheleaves,autraversdesfeuillages",,2012,29,12,10,9,0,47,21,10,1,2011.0,,
7386785280,37290448@N04,45.771315,4.835829,"city,plants,plant,france,brick,green,stone,wall,french,lyon,stones,bricks,creative,commons,cc,creativecommons,walls,lyons",Plant,2012,17,9,6,6,0,32,17,17,6,2012.0,,
7387000024,38586649@N00,45.779196,4.853596,"uploaded:by=flicksquare,foursquare:venue=4b851cb1f964a5207a4c31e3,geo:lat=45779196981146825,geo:lon=48535966873168945",Beautiful weather in #Lyon ,2012,46,11,17,6,0,46,17,17,6,2012.0,,
7583546064,37290448@N04,45.772827,4.841065,"city,blackandwhite,france,water,river,french,concrete,flow,lyon,cement,creative,commons,cc,creativecommons,flowing,ville,lyons,rhone",Bridge,2012,38,11,7,6,0,5,18,16,7,2012.0,,
7527657538,43706323@N03,45.769222,4.830549,"square,lofi,squareformat,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4b530005f964a520458c27e3",Le marathon de la bouffe continue ,2012,49,16,8,7,0,49,16,8,7,2012.0,,
8030462612,43320999@N06,45.757835,4.830446,"square,lofi,squareformat,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4bc44cf14cdfc9b6ad679821",Encore une belle soirée offerte par Franklin Templeton à Lyon ,2012,44,20,27,9,0,44,20,27,9,2012.0,,
8003036402,9728075@N06,45.723738,4.832203,"square,squareformat,lordkelvin,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4b7aef34f964a5201f472fe3",Comme mon ami Chik !,2012,46,6,19,9,0,46,15,19,9,2012.0,,
8150613256,58993764@N06,45.76118,4.831458,"square,squareformat,hefe,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4bd2cd8a41b9ef3bb0b7fee5",The newlyonnais ,2012,22,7,3,11,0,22,15,3,11,2012.0,,
8442159450,34659993@N04,45.780666,4.872666,"square,squareformat,hefe,iphoneography,instagramapp,uploaded:by=instagram",Prix hors categorie de la bravoure ,2013,8,19,3,2,0,8,19,3,2,2013.0,,
8434131946,71564713@N02,45.748409,4.862918,"square,squareformat,hudson,iphoneography,instagramapp,uploaded:by=instagram,foursquare:venue=4bae8c09f964a52049bf3be3",Création contemporaine nocturne ,2013,28,14,31,1,0,28,23,31,1,2013.0,,
