id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type,date_taken,year_month
7035216329,45.758863,4.826002,338,bal masqu oy oy carnaval dragon stgeorges lyon ,2012,3,31,15,49,228671340.0,Événement Temporaire,2012-03-31 15:49:00,2012-03
7035225811,45.758863,4.826002,338,pilote char carnaval dragon stpaul lyon ,2012,3,31,15,51,228671460.0,Événement Temporaire,2012-03-31 15:51:00,2012-03
6889128282,45.758863,4.826002,338,ca va finir apn carnaval dragon stgeorges lyon ,2012,3,31,15,51,228671460.0,Événement Temporaire,2012-03-31 15:51:00,2012-03
7035219901,45.758863,4.826002,338,petit escargot carnaval dragon stgeorges lyon ,2012,3,31,15,51,228671460.0,Événement Temporaire,2012-03-31 15:51:00,2012-03
7035214679,45.758863,4.826002,338,tentative druidesque desses carnaval dragon stgeorges lyon ,2012,3,31,15,37,228670620.0,Événement Temporaire,2012-03-31 15:37:00,2012-03
6889117732,45.758863,4.826002,338,priv carnavalsnif carnaval dragon carnaval dragon stgeorges lyon ,2012,3,31,15,33,228670380.0,Événement Temporaire,2012-03-31 15:33:00,2012-03
7035207981,45.758863,4.826002,338,abeille organisatrice carnaval dragon stgeorges lyon ,2012,3,31,15,26,228669960.0,Événement Temporaire,2012-03-31 15:26:00,2012-03
7035206003,45.758863,4.826002,338,chef bruit lambiance carnaval dragon stgeorges lyon ,2012,3,31,15,26,228669960.0,Événement Temporaire,2012-03-31 15:26:00,2012-03
7035203473,45.758863,4.826002,338,legion carnaval dragon stgeorges lyon ,2012,3,31,15,25,228669900.0,Événement Temporaire,2012-03-31 15:25:00,2012-03
6889041852,45.758863,4.826002,338,dcouverte carnaval dragon stgeorges lyon ,2012,3,31,14,32,228666720.0,Événement Temporaire,2012-03-31 14:32:00,2012-03
6889108442,45.758863,4.826002,338,masqu carnaval dragon stgeorges lyon ,2012,3,31,15,23,228669780.0,Événement Temporaire,2012-03-31 15:23:00,2012-03
