id,lat,long,cluster_DBSCAN,text_clean,date_taken_year,date_taken_month,date_taken_day,date_taken_hour,date_taken_minute,temps_diff,Type
4180736812,45.759802,4.819607,40, lyon amphitheatre,2009,9,11,16,6,-1.746938910577878,undef
4180736370,45.759802,4.819607,40, lyon amphitheatre,2009,9,11,16,6,-1.746938910577878,undef
4522389533,45.759723,4.819811,40,poladroid concert lyon fourviere ofmontreal poladroid nuitsdefourviere,2010,4,15,11,15,-1.5349688000472077,undef
4803729167,45.759641,4.819918,40,jeune fille thtre rouge lyon noiretblanc pierre nb thtre dimanche antiquit jeunefille thtreantique,2010,3,21,12,14,-1.5594851065923063,undef
5005811190,45.759626,4.820079,40,roman line france lyon roman amphitheatre,2010,9,19,13,1,-1.380681348050612,undef
4085729898,45.759858,4.819564,40, lyon,2009,10,26,14,37,-1.7027978262218535,undef
5648219546,45.759735,4.819865,40,p lyon romantheatre,2011,4,22,13,29,-1.1694759012643297,undef
5647655013,45.759735,4.819865,40,p lyon romantheatre,2011,4,22,13,28,-1.1694765833907743,undef
5648218938,45.759735,4.819865,40,p lyon romantheatre,2011,4,22,13,25,-1.169478629770108,undef
5648218664,45.759735,4.819865,40,p lyon romantheatre,2011,4,22,13,25,-1.169478629770108,undef
5648217488,45.759735,4.819865,40,p lyon romantheatre,2011,4,22,13,10,-1.169488861666777,undef
5647652801,45.759735,4.819865,40,p lyon romantheatre,2011,4,22,13,9,-1.1694895437932216,undef
5648216574,45.759735,4.819865,40,p lyon romantheatre,2011,4,22,13,7,-1.1694909080461109,undef
5587896521,45.759694,4.820166,40, france europe lyon unesco worldheritage,2011,3,14,16,33,-1.2076586111268386,undef
5729786061,45.759742,4.819725,40,lyon roman theatre old france vakantie ruin theater lyon theatre roman frankrijk oud rune voorjaarsvakantie romeins canoneos bartvandijk breeblebox,2011,5,2,11,50,-1.1597208109802126,undef
5969829674,45.759641,4.820101,40,king charles nuits fourvire music concert live musique kingcharles nuitsdefourvire,2011,7,23,19,57,-1.0788431248242152,undef
5969686622,45.759641,4.820101,40,king charles music concert live musique kingcharles nuitsdefourvire,2011,7,23,19,56,-1.0788438069506598,undef
5969128375,45.759641,4.820101,40,alex trimble two door cinema club music concert live musique nuitsdefourvire twodoorcinemaclub alextrimble,2011,7,23,23,7,-1.0787135207997427,undef
5969684374,45.759641,4.820101,40,two door cinema club music concert live musique nuitsdefourvire twodoorcinemaclub alextrimble,2011,7,23,22,53,-1.078723070569967,undef
5969683490,45.759641,4.820101,40,two door cinema club music concert live musique nuitsdefourvire twodoorcinemaclub,2011,7,23,22,52,-1.0787237526964115,undef
5969682452,45.759641,4.820101,40,two door cinema club alex trimble music concert live musique nuitsdefourvire twodoorcinemaclub alextrimble,2011,7,23,22,44,-1.0787292097079684,undef
5969124397,45.759641,4.820101,40,two door cinema club nuits fourvire music concert live musique nuitsdefourvire twodoorcinemaclub,2011,7,23,22,22,-1.0787442164897494,undef
5969680624,45.759641,4.820101,40,two door cinema club nuits fourvire music concert live musique nuitsdefourvire twodoorcinemaclub,2011,7,23,22,22,-1.0787442164897494,undef
5969679786,45.759641,4.820101,40, music concert live musique thedo nuitsdefourvire,2011,7,23,20,52,-1.0788056078697628,undef
5969121435,45.759641,4.820101,40,olivia merilahti music concert live musique thedo nuitsdefourvire oliviamerilahti,2011,7,23,20,51,-1.0788062899962072,undef
5969120137,45.759641,4.820101,40, music concert live musique thedo nuitsdefourvire,2011,7,23,20,41,-1.0788131112606532,undef
5969676096,45.759641,4.820101,40,nuits fourvire sou pluie music rain concert live pluie musique nuitsdefourvire,2011,7,23,20,24,-1.0788247074102113,undef
6180431831,45.75978,4.819672,40, architecture lyon,2011,9,6,11,7,-1.0350028582302562,undef
6180372607,45.75978,4.819672,40, architecture lyon,2011,9,6,11,9,-1.035001493977367,undef
5243286410,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,36,-1.537901261632511,undef
5243284860,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,37,-1.5379005795060663,undef
5242689405,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,39,-1.5378992152531772,undef
5243282348,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,40,-1.5378985331267323,undef
5243281018,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,44,-1.537895804620954,undef
5243279602,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,45,-1.5378951224945097,undef
5243278086,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,46,-1.537894440368065,undef
5242682623,45.759697,4.819849,40, stone dandelion romanruins lugdunum,2010,4,12,11,47,-1.5378937582416203,undef
5243275236,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,51,-1.537891029735842,undef
5242679561,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,53,-1.5378896654829528,undef
5243272474,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,53,-1.5378896654829528,undef
5243271208,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,53,-1.5378896654829528,undef
5243269672,45.759697,4.819849,40, romanruins lugdunum,2010,4,12,11,54,-1.537888983356508,undef
6932749317,45.759679,4.819951,40,img ,2012,2,26,14,17,-0.8649419143289037,undef
6803184423,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,6,-0.9936257502277206,undef
6803183589,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,7,-0.993625068101276,undef
6803182747,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,7,-0.993625068101276,undef
6803181683,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,8,-0.9936243859748316,undef
6803180927,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,11,-0.9936223395954976,undef
6803179811,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,12,-0.9936216574690532,undef
6803178993,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,14,-0.993620293216164,undef
6803178199,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,14,-0.993620293216164,undef
6803177233,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,14,-0.993620293216164,undef
6803175659,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,18,-0.9936175647103856,undef
6803174735,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,20,-0.9936162004574964,undef
6803173929,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,20,-0.9936162004574964,undef
6803173051,45.759716,4.819693,40,thtre antique lyon amphitheatre romantheatre fourvire thtreantique,2011,10,18,14,22,-0.9936148362046072,undef
6593491931,45.759723,4.819575,40,running circle lyon theatre andreaschiavonet,2011,8,27,15,28,-1.0446474440303497,undef
6842695834,45.759833,4.819833,40, ,2009,7,11,15,23,-1.8078684909882128,undef
6842695518,45.759833,4.819833,40, ,2009,7,11,15,23,-1.8078684909882128,undef
6842695202,45.759833,4.819833,40, ,2009,7,11,15,23,-1.8078684909882128,undef
6988818641,45.759833,4.819666,40, ,2009,7,11,15,19,-1.807871219493991,undef
6988818373,45.759833,4.819666,40, ,2009,7,11,15,19,-1.807871219493991,undef
6988818129,45.759833,4.819666,40, ,2009,7,11,15,19,-1.807871219493991,undef
6842694148,45.759833,4.819666,40, ,2009,7,11,15,19,-1.807871219493991,undef
6988817565,45.759833,4.819666,40, ,2009,7,11,15,19,-1.807871219493991,undef
6842693596,45.759833,4.819666,40, ,2009,7,11,15,15,-1.8078739479997692,undef
6979876981,45.759607,4.81987,40, france lyon galloroman,2012,3,8,10,6,-0.8543082451841514,undef
6979875823,45.759607,4.81987,40, france lyon galloroman,2012,3,8,10,5,-0.8543089273105959,undef
6967431843,45.759607,4.81987,40, france kent lyon,2012,3,2,10,13,-0.8601970427803183,undef
6813528348,45.759525,4.820138,40, france lyon,2012,3,2,10,9,-0.8601997712860967,undef
7128100999,45.759776,4.820165,40,romana azul ,2012,4,11,14,22,-0.8207367100870876,undef
7087159023,45.759667,4.819833,40, ,2012,4,17,9,17,-0.8150511861714093,undef
7087158419,45.759667,4.819833,40, ,2012,4,17,9,16,-0.8150518682978538,undef
6893254334,45.759607,4.81987,40, france lyon,2012,3,22,13,47,-0.840405826116912,undef
7189258558,45.759738,4.820058,40,ewelina ,2012,4,11,14,22,-0.8207367100870876,undef
7608799380,45.759716,4.819908,40,battle nuits ,2012,7,15,20,49,-0.7271578295327783,undef
7608798830,45.759716,4.819908,40,battle nuits ,2012,7,15,21,11,-0.7271428227509972,undef
7608798142,45.759716,4.819908,40,battle nuits ,2012,7,15,21,11,-0.7271428227509972,undef
7608796728,45.759716,4.819908,40,battle nuits ,2012,7,15,21,12,-0.7271421406245526,undef
7608796026,45.759716,4.819908,40,battle nuits ,2012,7,15,21,16,-0.7271394121187743,undef
7608795404,45.759716,4.819908,40,battle nuits ,2012,7,15,21,28,-0.7271312266014391,undef
7608794744,45.759716,4.819908,40,battle nuits ,2012,7,15,21,38,-0.7271244053369932,undef
7608794052,45.759716,4.819908,40,battle nuits ,2012,7,15,21,39,-0.7271237232105486,undef
7608793456,45.759716,4.819908,40,battle nuits ,2012,7,15,21,41,-0.7271223589576594,undef
7608792824,45.759716,4.819908,40,battle nuits ,2012,7,15,21,48,-0.7271175840725473,undef
7608792158,45.759716,4.819908,40,battle nuits ,2012,7,15,22,26,-0.7270916632676528,undef
7608791384,45.759716,4.819908,40,battle nuits ,2012,7,15,22,26,-0.7270916632676528,undef
7608790828,45.759716,4.819908,40,battle nuits ,2012,7,15,22,34,-0.7270862062560961,undef
7608790164,45.759716,4.819908,40,battle nuits ,2012,7,15,22,39,-0.7270827956238731,undef
7608789418,45.759716,4.819908,40,battle nuits ,2012,7,15,22,31,-0.7270882526354299,undef
7608788716,45.759716,4.819908,40,battle nuits ,2012,7,15,21,53,-0.7271141734403244,undef
7608788124,45.759716,4.819908,40,battle nuits ,2012,7,15,21,46,-0.7271189483254364,undef
7608787454,45.759716,4.819908,40,battle nuits ,2012,7,15,21,35,-0.7271264517163271,undef
7608786810,45.759716,4.819908,40,battle nuits ,2012,7,15,21,24,-0.7271339551072176,undef
